date,currency_code,name,local_price,dollar_ex,dollar_price
2007-06-01,SAR,Saudi Arabia,9.0,3.75045,2.3997120345558502
2007-06-01,SGD,Singapore,3.95,1.52375,2.5922887612797405
2007-06-01,SEK,Sweden,33.0,6.79165,4.8589076292211795
2007-06-01,THB,Thailand,62.0,34.455,1.7994485560876499
2007-06-01,TRY,Turkey,4.75,1.2981,3.6591942069177996
2007-06-01,TWD,Taiwan,75.0,32.7705,2.2886437497139203
2007-06-01,UAH,Ukraine,9.25,5.0275,1.8398806563898602
2007-06-01,UYU,Uruguay,62.0,23.945,2.5892670703696
2007-06-01,USD,United States,3.41,1.0,3.41
2007-06-01,ZAR,South Africa,15.5,6.971,2.22349734614833
2008-06-01,AED,UAE,10.0,3.67285,2.7226812965408302
2008-06-01,ARS,Argentina,11.0,3.0195,3.64298724954463
2008-06-01,AUD,Australia,3.45,1.026,3.36257309941521
2008-06-01,BRL,Brazil,7.5,1.5846,4.73305566073457
2008-06-01,CAD,Canada,4.09,1.00355,4.07553186189029
2008-06-01,CHF,Switzerland,6.5,1.02215,6.35914493958812
2008-06-01,CLP,Chile,1550.0,494.65,3.13352875770747
2008-06-01,CNY,China,12.5,6.834,1.8290898448931798
2008-06-01,COP,Colombia,7000.0,1798.65,3.89180774469741
2008-06-01,CRC,Costa Rica,1800.0,551.02,3.2666690864215497
2008-06-01,CZK,Czech Republic,66.08,14.49795,4.55788577005715
2008-06-01,DKK,Denmark,28.0,4.7044,5.951874840574781
2008-06-01,EGP,Egypt,13.0,5.3125,2.44705882352941
2008-06-01,EUR,Euro area,3.36856,0.630497147,5.342704588003469
2008-06-01,GBP,Britain,2.29,0.5010396570000001,4.5704965026351205
2008-06-01,HKD,Hong Kong,13.3,7.7974,1.7056967707184398
2008-06-01,HUF,Hungary,670.0,144.2578,4.64446289905988
2008-06-01,IDR,Indonesia,18700.0,9152.0,2.04326923076923
2008-06-01,JPY,Japan,280.0,106.855,2.62037340320996
2008-06-01,KRW,South Korea,3200.0,1018.05,3.1432640832964998
2008-06-01,LKR,Sri Lanka,210.0,107.55,1.9525801952580202
2008-06-01,MXN,Mexico,32.0,10.1685,3.1469734965825804
2008-06-01,MYR,Malaysia,5.5,3.238,1.6985793699814702
2008-06-01,NOK,Norway,40.0,5.07915,7.87533347115167
2008-06-01,NZD,New Zealand,4.9,1.3177,3.7186005919405
2008-06-01,PKR,Pakistan,140.0,70.9,1.97461212976023
2008-06-01,PEN,Peru,9.5,2.84,3.34507042253521
2008-06-01,PHP,Philippines,87.0,44.485,1.95571540968866
2008-06-01,PLN,Poland,7.0,2.03145,3.44581456595043
2008-06-01,RUB,Russia,59.0,23.2336,2.5394256593898503
2008-06-01,SAR,Saudi Arabia,10.0,3.74955,2.6669867050712797
2008-06-01,SGD,Singapore,3.95,1.35275,2.9199778229532405
2008-06-01,SEK,Sweden,38.0,5.96085,6.374929749951769
2008-06-01,THB,Thailand,62.0,33.36,1.8585131894484401
2008-06-01,TRY,Turkey,5.15,1.19275,4.31775309159505
2008-06-01,TWD,Taiwan,75.0,30.3625,2.4701523260601097
2008-06-01,UAH,Ukraine,11.0,4.6,2.39130434782609
2008-06-01,UYU,Uruguay,61.0,19.15,3.1853785900783302
2008-06-01,USD,United States,3.57,1.0,3.57
2008-06-01,ZAR,South Africa,16.95,7.56325,2.24110005619277
2009-07-01,AED,UAE,10.0,3.673,2.7225701061802297
2009-07-01,ARS,Argentina,11.5,3.81125,3.0173827484421096
2009-07-01,AUD,Australia,4.34,1.2869,3.37244541145388
2009-07-01,BRL,Brazil,8.03,1.9971,4.0208302037955
2009-07-01,CAD,Canada,3.89,1.16085,3.3509928069948702
2009-07-01,CHF,Switzerland,6.5,1.08605,5.98499148289674
2009-07-01,CLP,Chile,1750.0,548.55,3.1902287849785798
2009-07-01,CNY,China,12.5,6.8327,1.82943785033735
2009-07-01,COP,Colombia,7000.0,2095.6,3.3403321244512303
2009-07-01,CRC,Costa Rica,2000.0,582.57,3.43306383782206
2009-07-01,CZK,Czech Republic,67.92,18.66155,3.63956906044782
2009-07-01,DKK,Denmark,29.5,5.3375,5.52693208430913
2009-07-01,EGP,Egypt,13.0,5.58475,2.32776758135995
2009-07-01,EUR,Euro area,3.31,0.7168972690000001,4.6171189975617
2009-07-01,GBP,Britain,2.29,0.620886626,3.6882740006063504
2009-07-01,HKD,Hong Kong,13.3,7.7505,1.71601832139862
2009-07-01,HUF,Hungary,720.0,199.1577,3.61522552228711
2009-07-01,IDR,Indonesia,20900.0,10200.0,2.0490196078431397
2009-07-01,ILS,Israel,15.0,3.97425,3.7742970371768303
2009-07-01,JPY,Japan,320.0,92.565,3.45703019499811
2009-07-01,KRW,South Korea,3400.0,1314.5,2.58653480410803
2009-07-01,LKR,Sri Lanka,210.0,114.86,1.82831272853909
2009-07-01,MXN,Mexico,33.0,13.8104,2.38950356253258
2009-07-01,MYR,Malaysia,6.77,3.602,1.8795113825652399
2009-07-01,NOK,Norway,40.0,6.50925,6.14510120213542
2009-07-01,NZD,New Zealand,4.9,1.59235,3.0772129242942796
2009-07-01,PKR,Pakistan,190.0,82.6,2.30024213075061
2009-07-01,PEN,Peru,8.056000000000001,3.0274,2.6610292660368597
2009-07-01,PHP,Philippines,99.39,48.385,2.0541490131239
2009-07-01,PLN,Poland,7.6,3.15525,2.4086839394659703
2009-07-01,RUB,Russia,67.0,32.7959,2.04293829411603
2009-07-01,SAR,Saudi Arabia,11.0,3.7504,2.9330204778157003
2009-07-01,SGD,Singapore,4.22,1.4645,2.8815295322635697
2009-07-01,SEK,Sweden,39.0,7.90915,4.930997641971639
2009-07-01,THB,Thailand,64.49,34.165,1.88760427337919
2009-07-01,TRY,Turkey,5.65,1.55005,3.64504370826748
2009-07-01,TWD,Taiwan,75.0,33.1755,2.2607044355021
2009-07-01,UAH,Ukraine,14.0,7.66,1.82767624020888
2009-07-01,UYU,Uruguay,61.0,23.17,2.6327147173068597
2009-07-01,USD,United States,3.57,1.0,3.57
2009-07-01,ZAR,South Africa,17.95,8.2805,2.16774349375038
2010-01-01,AED,UAE,11.0,3.673,2.9948271167982594
2010-01-01,ARS,Argentina,7.0,3.7985,1.8428326971172801
2010-01-01,AUD,Australia,4.35,1.09355,3.97787023912944
2010-01-01,BRL,Brazil,8.2,1.7233,4.75831253989439
2010-01-01,CAD,Canada,4.12,1.0368,3.9737654320987703
2010-01-01,CHF,Switzerland,6.5,1.03115,6.30364156524269
2010-01-01,CLP,Chile,1600.0,503.1,3.18028225004969
2010-01-01,CNY,China,12.5,6.8272,1.83091164752754
2010-01-01,COP,Colombia,8200.0,2095.6,3.91296048864287
2010-01-01,CRC,Costa Rica,2050.0,582.57,3.5188904337676203
2010-01-01,CZK,Czech Republic,67.64,18.21005,3.7144324150675
2010-01-01,DKK,Denmark,30.94,5.16195,5.99385890990808
2010-01-01,EGP,Egypt,13.0,5.465,2.37877401646844
2010-01-01,EUR,Euro area,3.36,0.693649638,4.84394399698368
2010-01-01,GBP,Britain,2.29,0.623752495,3.6713280000587405
2010-01-01,HKD,Hong Kong,14.8,7.75655,1.9080647968491102
2010-01-01,HUF,Hungary,720.0,186.6508,3.85747074215594
2010-01-01,IDR,Indonesia,20900.0,9320.0,2.2424892703862698
2010-01-01,ILS,Israel,14.9,3.7325,3.9919624916276
2010-01-01,JPY,Japan,320.0,91.54,3.49573956740223
2010-01-01,KRW,South Korea,3400.0,1140.5,2.98114861902674
2010-01-01,LKR,Sri Lanka,210.0,114.86,1.82831272853909
2010-01-01,MXN,Mexico,32.0,12.81375,2.49731733489416
2010-01-01,MYR,Malaysia,7.05,3.3875,2.08118081180812
2010-01-01,NOK,Norway,40.0,5.69555,7.02302674895313
2010-01-01,NZD,New Zealand,4.9,1.35685,3.6113055975236805
2010-01-01,PKR,Pakistan,200.0,82.6,2.42130750605327
2010-01-01,PEN,Peru,8.056000000000001,2.8705,2.8064797073680494
2010-01-01,PHP,Philippines,101.52,45.92,2.2108013937282203
2010-01-01,PLN,Poland,8.1,2.83565,2.85648793045686
2010-01-01,RUB,Russia,70.0,29.927,2.3390249607377998
2010-01-01,SAR,Saudi Arabia,10.0,3.7502,2.66652445202923
2010-01-01,SGD,Singapore,4.45,1.39555,3.1887069614130596
2010-01-01,SEK,Sweden,39.0,7.0821,5.50684119117211
2010-01-01,THB,Thailand,70.0,33.135,2.112569790252
2010-01-01,TRY,Turkey,5.65,1.47455,3.8316774609202797
2010-01-01,TWD,Taiwan,75.0,31.8425,2.35534270236319
2010-01-01,UAH,Ukraine,14.0,7.66,1.82767624020888
2010-01-01,UYU,Uruguay,77.0,23.17,3.32326283987915
2010-01-01,USD,United States,3.58,1.0,3.58
2010-01-01,ZAR,South Africa,17.95,7.3045,2.45738928058046
2010-07-01,AED,UAE,11.0,3.67285,2.99494942619492
2010-07-01,ARS,Argentina,14.0,3.93375,3.55894502700985
2010-07-01,AUD,Australia,4.35,1.133722578,3.8369175002881497
2010-07-01,BRL,Brazil,8.71,1.77495,4.907180483957299
2010-07-01,CAD,Canada,4.17,1.04235,4.000575622391709
2010-07-01,CHF,Switzerland,6.5,1.05085,6.185468906123611
2010-07-01,CLP,Chile,1750.0,523.65,3.34192685954359
2010-07-01,CNY,China,13.2,6.7769,1.9477932387965
2010-07-01,COP,Colombia,8200.0,1868.45,4.388664400974069
2010-07-01,CRC,Costa Rica,2000.0,522.115,3.83057372417954
2010-07-01,CZK,Czech Republic,67.64,19.7476,3.4252263566205494
2010-07-01,DKK,Denmark,28.5,5.81365,4.90225589775786
2010-07-01,EGP,Egypt,13.0,5.699,2.28110194771012
2010-07-01,EUR,Euro area,3.3800310710000003,0.78015291,4.33252382664316
2010-07-01,GBP,Britain,2.29,0.657375756,3.48354799990525
2010-07-01,HKD,Hong Kong,14.8,7.7742,1.90373285997273
2010-07-01,HUF,Hungary,740.0,221.96915,3.33379661092544
2010-07-01,IDR,Indonesia,22780.0,9063.0,2.5135164956416203
2010-07-01,ILS,Israel,14.9,3.8619,3.85820451073306
2010-07-01,JPY,Japan,320.0,87.18,3.67056664372563
2010-07-01,KRW,South Korea,3400.0,1204.45,2.82286520818631
2010-07-01,LKR,Sri Lanka,210.0,112.775,1.86211483041454
2010-07-01,MXN,Mexico,32.0,12.782,2.50352057580973
2010-07-01,MYR,Malaysia,7.05,3.2135,2.19386961257196
2010-07-01,NOK,Norway,45.0,6.24625,7.20432259355613
2010-07-01,NZD,New Zealand,5.0,1.39275766,3.5900000004307997
2010-07-01,PKR,Pakistan,210.0,85.525,2.4554223911137103
2010-07-01,PEN,Peru,10.0,2.8275,3.5366931918656097
2010-07-01,PHP,Philippines,102.0,46.47,2.19496449322143
2010-07-01,PLN,Poland,8.3,3.1969,2.5962651318464802
2010-07-01,RUB,Russia,71.0,30.44325,2.3322082891938303
2010-07-01,SAR,Saudi Arabia,10.0,3.75045,2.66634670506206
2010-07-01,SGD,Singapore,4.23,1.3742,3.0781545626546403
2010-07-01,SEK,Sweden,48.4,7.37355,6.564002414033951
2010-07-01,THB,Thailand,70.0,32.305,2.16684723726977
2010-07-01,TRY,Turkey,5.95,1.5293,3.89066893349899
2010-07-01,TWD,Taiwan,75.0,32.1055,2.336048340627
2010-07-01,UAH,Ukraine,14.5,7.899,1.8356754019496102
2010-07-01,UYU,Uruguay,79.0,21.1,3.74407582938389
2010-07-01,USD,United States,3.733333333,1.0,3.733333333
2010-07-01,ZAR,South Africa,18.45,7.5365,2.44808598155643
2011-07-01,AED,UAE,12.0,3.67305,3.2670396536938
2011-07-01,ARS,Argentina,20.0,4.1325,4.83968542044767
2011-07-01,AUD,Australia,4.56,0.9223815890000001,4.9437240014121695
2011-07-01,BRL,Brazil,9.5,1.5416,6.1624286455630495
2011-07-01,CAD,Canada,4.73,0.94585,5.00079293756938
2011-07-01,CHF,Switzerland,6.5,0.80615,8.06301556782237
2011-07-01,CLP,Chile,1850.0,462.75,3.99783900594273
2011-07-01,CNY,China,14.65,6.445,2.27307990690458
2011-07-01,COP,Colombia,8400.0,1770.5,4.74442247952556
2011-07-01,CRC,Costa Rica,2050.0,504.305,4.06500034701222
2011-07-01,CZK,Czech Republic,69.32,17.0219,4.072400848318931
2011-07-01,DKK,Denmark,28.5,5.19845,5.48240340870837
2011-07-01,EGP,Egypt,14.09,5.962000000000001,2.36330090573633
2011-07-01,EUR,Euro area,3.437660401,0.697520315,4.92840183586624
2011-07-01,GBP,Britain,2.39,0.614137444,3.8916369997462703
2011-07-01,HKD,Hong Kong,15.1,7.7918,1.93793475191868
2011-07-01,HUF,Hungary,760.0,188.0724,4.04099697775963
2011-07-01,IDR,Indonesia,22534.0,8523.0,2.64390472838203
2011-07-01,INR,India,84.0,44.4,1.8918918918918899
2011-07-01,ILS,Israel,15.9,3.40335,4.67186742474327
2011-07-01,JPY,Japan,320.0,78.365,4.08345562432208
2011-07-01,KRW,South Korea,3700.0,1056.2,3.50312440825601
2011-07-01,LKR,Sri Lanka,280.0,109.475,2.55766156656771
2011-07-01,MXN,Mexico,32.0,11.67075,2.74189747873958
2011-07-01,MYR,Malaysia,7.2,2.9730000000000003,2.4217961654894102
2011-07-01,NOK,Norway,45.0,5.41405,8.31170750177778
2011-07-01,NZD,New Zealand,5.1,1.1560693640000002,4.41150000061761
2011-07-01,PKR,Pakistan,205.13,86.345,2.37570212519544
2011-07-01,PEN,Peru,10.0,2.7375,3.6529680365296797
2011-07-01,PHP,Philippines,118.0,42.41,2.7823626503183196
2011-07-01,PLN,Poland,8.63,2.7968,3.08566933638444
2011-07-01,RUB,Russia,75.0,27.7525,2.70245923790649
2011-07-01,SAR,Saudi Arabia,10.0,3.7502,2.66652445202923
2011-07-01,SGD,Singapore,4.41,1.20705,3.65353547906052
2011-07-01,SEK,Sweden,48.4,6.3352,7.6398535168581905
2011-07-01,THB,Thailand,70.0,29.75,2.35294117647059
2011-07-01,TRY,Turkey,6.5,1.72285,3.77281829526656
2011-07-01,TWD,Taiwan,75.0,28.834,2.60109592841784
2011-07-01,UAH,Ukraine,16.5,7.994,2.06404803602702
2011-07-01,UYU,Uruguay,90.0,18.45,4.87804878048781
2011-07-01,USD,United States,4.065,1.0,4.065
2011-07-01,ZAR,South Africa,19.45,6.76885,2.87345708650657
2012-01-01,AED,UAE,12.0,3.673,3.26708412741628
2012-01-01,ARS,Argentina,20.0,4.3135,4.63660600440478
2012-01-01,AUD,Australia,4.8,0.972337012,4.9365600000424505
2012-01-01,BRL,Brazil,10.25,1.805,5.6786703601108
2012-01-01,CAD,Canada,4.73,1.02095,4.63293990890837
2012-01-01,CHF,Switzerland,6.5,0.9551,6.805570097372001
2012-01-01,CLP,Chile,2050.0,506.05,4.0509831044363205
2012-01-01,CNY,China,15.4,6.3155,2.43844509540021
2012-01-01,COP,Colombia,8400.0,1852.15,4.535269821558731
2012-01-01,CRC,Costa Rica,2050.0,509.54,4.02323664481689
2012-01-01,CZK,Czech Republic,70.22,20.36535,3.44801341494254
2012-01-01,DKK,Denmark,31.5,5.86135,5.374188540182719
2012-01-01,EGP,Egypt,15.5,6.037000000000001,2.56750041411297
2012-01-01,EUR,Euro area,3.49245637,0.788239467,4.43070477464433
2012-01-01,GBP,Britain,2.49,0.651253663,3.8233950017721403
2012-01-01,HKD,Hong Kong,16.5,7.76735,2.12427661943906
2012-01-01,HUF,Hungary,645.0,245.69425,2.6252140617861404
2012-01-01,IDR,Indonesia,22534.0,9160.0,2.46004366812227
2012-01-01,INR,India,84.0,51.905,1.61834120026972
2012-01-01,ILS,Israel,15.9,3.8485,4.13147979732363
2012-01-01,JPY,Japan,320.0,76.92,4.16016640665627
2012-01-01,KRW,South Korea,3700.0,1158.75,3.19309600862999
2012-01-01,LKR,Sri Lanka,290.0,113.93,2.5454226279294305
2012-01-01,MXN,Mexico,37.0,13.6844,2.7038087164946902
2012-01-01,MYR,Malaysia,7.35,3.13955,2.34109983914892
2012-01-01,NOK,Norway,41.0,6.0399,6.78819185748108
2012-01-01,NZD,New Zealand,5.1,1.26000126,4.04761500000405
2012-01-01,PKR,Pakistan,260.0,90.05,2.88728484175458
2012-01-01,PEN,Peru,10.0,2.6925,3.71402042711235
2012-01-01,PHP,Philippines,118.0,44.005,2.6815134643790497
2012-01-01,PLN,Poland,9.1,3.52045,2.58489681716826
2012-01-01,RUB,Russia,81.0,31.7693,2.54963124777694
2012-01-01,SAR,Saudi Arabia,10.0,3.7502,2.66652445202923
2012-01-01,SGD,Singapore,4.85,1.2928,3.7515470297029703
2012-01-01,SEK,Sweden,41.0,6.9338,5.91306354379994
2012-01-01,THB,Thailand,78.0,31.75,2.4566929133858304
2012-01-01,TRY,Turkey,6.6,1.86295,3.54276819023592
2012-01-01,TWD,Taiwan,75.0,29.9795,2.50170950149269
2012-01-01,UAH,Ukraine,17.0,8.0405,2.11429637460357
2012-01-01,UYU,Uruguay,90.0,19.45,4.62724935732648
2012-01-01,USD,United States,4.19722,1.0,4.19722
2012-01-01,ZAR,South Africa,19.95,8.1304,2.45375381285054
2012-07-01,AED,UAE,12.0,3.67295,3.26712860234961
2012-07-01,ARS,Argentina,19.0,4.56625,4.16096359156857
2012-07-01,AUD,Australia,4.56,0.9743264970000001,4.68015599908292
2012-07-01,BRL,Brazil,10.08,2.04215,4.935974340768309
2012-07-01,CAD,Canada,5.12,1.01945,5.02231595468145
2012-07-01,CHF,Switzerland,6.5,0.9906,6.56167979002625
2012-07-01,CLP,Chile,2050.0,493.05,4.1577933272487595
2012-07-01,CNY,China,15.65,6.3885,2.4497143304375095
2012-07-01,COP,Colombia,8600.0,1804.475,4.76592914836725
2012-07-01,CZK,Czech Republic,70.33,21.048000000000002,3.34141011022425
2012-07-01,DKK,Denmark,28.5,6.1356,4.6450224916878495
2012-07-01,EGP,Egypt,16.0,6.0665,2.63743509437072
2012-07-01,EUR,Euro area,3.5834822410000005,0.8248443109999999,4.3444346929611095
2012-07-01,GBP,Britain,2.69,0.646266197,4.1623715002999
2012-07-01,HKD,Hong Kong,16.5,7.75815,2.126795692272
2012-07-01,HUF,Hungary,830.0,238.2151,3.48424596089836
2012-07-01,IDR,Indonesia,24200.0,9482.5,2.55206960189823
2012-07-01,INR,India,89.0,56.165,1.58461675420636
2012-07-01,ILS,Israel,11.9,4.07625,2.91934989267096
2012-07-01,JPY,Japan,320.0,78.22,4.09102531321913
2012-07-01,KRW,South Korea,3700.0,1151.0,3.2145960034752403
2012-07-01,LKR,Sri Lanka,290.0,131.0,2.2137404580152698
2012-07-01,MXN,Mexico,37.0,13.687000000000001,2.70329509753781
2012-07-01,MYR,Malaysia,7.4,3.1735,2.33181030408067
2012-07-01,NOK,Norway,43.0,6.09205,7.05837936326852
2012-07-01,NZD,New Zealand,5.1,1.273560876,4.004520000659951
2012-07-01,PKR,Pakistan,285.0,94.605,3.01252576502299
2012-07-01,PHP,Philippines,118.0,42.2,2.7962085308056897
2012-07-01,PLN,Poland,9.1,3.46035,2.6297917840680896
2012-07-01,RUB,Russia,75.0,32.76525,2.28901046077781
2012-07-01,SAR,Saudi Arabia,10.0,3.75025,2.6664889007399504
2012-07-01,SGD,Singapore,4.4,1.2585,3.49622566547477
2012-07-01,SEK,Sweden,39.97301987,6.9777,5.72868135202144
2012-07-01,THB,Thailand,82.0,31.7,2.58675078864353
2012-07-01,TRY,Turkey,8.25,1.8269,4.51584651595599
2012-07-01,TWD,Taiwan,75.0,30.1955,2.4838138133165497
2012-07-01,UAH,Ukraine,15.0,8.0855,1.8551728402696201
2012-07-01,UYU,Uruguay,99.0,21.87,4.5267489711934195
2012-07-01,USD,United States,4.3275,1.0,4.3275
2012-07-01,ZAR,South Africa,19.95,8.4683,2.35584473861342
2013-01-01,AED,UAE,12.0,3.67305,3.2670396536938
2013-01-01,ARS,Argentina,19.0,4.9765,3.81794433839044
2013-01-01,AUD,Australia,4.7,0.959094615,4.90045499838408
2013-01-01,BRL,Brazil,11.25,1.99335,5.6437655203551795
2013-01-01,CAD,Canada,5.41,1.0029,5.394356366537041
2013-01-01,CHF,Switzerland,6.5,0.9123,7.12484928203442
2013-01-01,CLP,Chile,2050.0,471.75,4.34552199258082
2013-01-01,CNY,China,16.0,6.2204,2.5721818532570295
2013-01-01,COP,Colombia,8600.0,1773.175,4.85005710096296
2013-01-01,CRC,Costa Rica,2200.0,500.83,4.39270810454645
2013-01-01,CZK,Czech Republic,70.33,18.89495,3.72215856617774
2013-01-01,DKK,Denmark,28.5,5.49795,5.18375030693258
2013-01-01,EGP,Egypt,16.0,6.68575,2.3931496092435403
2013-01-01,EUR,Euro area,3.5948495719999998,0.7369468290000001,4.878031128620269
2013-01-01,GBP,Britain,2.69,0.633211968,4.248182498028839
2013-01-01,HKD,Hong Kong,17.0,7.7591,2.19097575749765
2013-01-01,HUF,Hungary,830.0,217.46935,3.81662979173847
2013-01-01,IDR,Indonesia,27939.0,9767.5,2.86040440235475
2013-01-01,INR,India,89.0,53.395,1.66682273621126
2013-01-01,ILS,Israel,14.9,3.72455,4.00048327985931
2013-01-01,JPY,Japan,320.0,91.065,3.5139735353868105
2013-01-01,KRW,South Korea,3700.0,1085.475,3.40864598447684
2013-01-01,LKR,Sri Lanka,350.0,126.45,2.76789244760775
2013-01-01,MXN,Mexico,37.0,12.7384,2.9046034038811803
2013-01-01,MYR,Malaysia,7.95,3.083,2.5786571521245496
2013-01-01,NOK,Norway,43.0,5.4831,7.842279002753919
2013-01-01,NZD,New Zealand,5.2,1.202428906,4.32458000140592
2013-01-01,PKR,Pakistan,290.0,97.665,2.96933394767829
2013-01-01,PEN,Peru,10.0,2.5595,3.90701308849385
2013-01-01,PHP,Philippines,118.0,40.6,2.9064039408867
2013-01-01,PLN,Poland,9.1,3.092,2.94307891332471
2013-01-01,RUB,Russia,72.88,30.045,2.4256947911466096
2013-01-01,SAR,Saudi Arabia,11.0,3.7502,2.93317689723215
